+-------+--------------+-------+---------------+----------------------------+
|   id  |     name     | level |     class     |            race            |
| 22993 |   Pivochan   |   80  |    Охотник    |        Эльф бездны         |
| 22994 |    Шляпа     |   80  |    Паладин    |        Эльф бездны         |
| 22995 |  Lesnoytrup  |   80  |     Шаман     |           Эредар           |
| 22996 |    Рисон     |   80  |     Шаман     |          Человек           |
| 22997 |    Вонюка    |   80  |      Маг      |       Вульпера(Орда)       |
| 22998 |   Betgrim    |   80  |    Охотник    |           Гоблин           |
| 22999 |  Emachines   |   80  |     Шаман     |           Нежить           |
| 23000 |    Mizery    |   80  |   Разбойник   |       Ночнорожденный       |
| 23001 |    Сареф     |   80  |     Шаман     |           Эредар           |
| 23002 |  Эритроцит   |   80  |      Жрец     |       Вульпера(Орда)       |
| 23003 | Moonpaladin  |   80  |    Паладин    |         Эльф крови         |
| 23004 |  Раколовка   |   80  |    Паладин    |          Человек           |
| 23005 |    Варик     |   80  |      Воин     |            Орк             |
| 23006 | Динобомбино  |   80  |    Паладин    |           Эредар           |
| 23007 |    Шиноби    |   80  |    Паладин    |           Таурен           |
| 23008 |   Чертилия   |   80  |    Паладин    |           Дворф            |
| 23009 |    Lokrot    |   80  |     Друид     |       Вульпера(Орда)       |
| 23010 |   Вежливый   |   80  |      Воин     |            Гном            |
| 23011 |   Дэмуэрто   |   80  |      Маг      |           Нежить           |
| 23012 |  Извращенец  |   80  |    Охотник    |           Таурен           |
| 23013 |     Акти     |   80  |  Чернокнижник |           Гоблин           |
| 23014 |    Minerv    |   80  |      Воин     |        Эльф бездны         |
| 23015 | Лизнимойбабл |   80  |    Паладин    |           Таурен           |
| 23016 |   Холиблад   |   80  |    Паладин    |       Ночнорожденный       |
| 23017 |    Dezer     |   80  |     Друид     |           Эредар           |
| 23018 |  Dengapally  |   80  |    Паладин    |           Нежить           |
| 23019 |   Долбалоб   |   80  |    Паладин    |           Дворф            |
| 23020 |    Эльпи     |   80  |      Жрец     |      Вульпера(Альянс)      |
| 23021 |     Лур      |   80  |     Шаман     |           Ворген           |
| 23022 |   Стербен    |   80  |     Друид     |           Таурен           |
| 23023 |    Лиссик    |   80  |     Друид     |      Вульпера(Альянс)      |
| 23024 |  Старейшина  |   80  |     Шаман     |           Дреней           |
| 23025 |   Gospodin   |   80  |      Воин     |        Ночной эльф         |
| 23026 |    Барон     |   80  |    Паладин    |          Человек           |
| 23027 |  Razdolbay   |   80  |     Шаман     |        Ночной эльф         |
| 23028 |   Колючка    |   80  |      Жрец     |           Эредар           |
| 23029 | Освободитель |   80  |     Друид     | Дворф клана Черного Железа |
| 23030 |  Тупасплэш   |   80  |     Друид     |         Эльф крови         |
| 23031 |   Wanderer   |   80  |      Воин     |       Ночнорожденный       |
| 23032 |   Moonstar   |   80  |    Паладин    |            Орк             |
| 23033 |  Astordark   |   80  |      Маг      |        Ночной эльф         |
| 23034 |   Holving    |   80  |      Воин     |           Эредар           |
| 23035 |  Супероблом  |   80  |   Разбойник   |       Ночнорожденный       |
| 23036 |   Yobaman    |   80  |      Воин     |           Дворф            |
| 23037 |    Дарси     |   80  |     Шаман     |        Высший эльф         |
| 23038 |   Whitelin   |   80  |    Паладин    |         Эльф крови         |
| 23039 |    Урсула    |   80  |     Друид     |           Дреней           |
| 23040 |  Dellusion   |   80  |    Паладин    |          Человек           |
| 23041 |   Lifelong   |   80  |  Чернокнижник |           Гоблин           |
| 23042 |   Сорвала    |   80  |      Воин     |        Ночной эльф         |
| 23043 |   Белочник   |   80  |  Чернокнижник |            Гном            |
| 23044 |    Brama     |   80  |  Чернокнижник |           Эредар           |
| 23045 |   Титечка    |   80  |     Друид     |        Эльф бездны         |
| 23046 |   Атвинта    |   80  |   Разбойник   |        Ночной эльф         |
| 23047 |    Тернот    |   80  |      Жрец     |         Эльф крови         |
| 23048 |   Lordana    |   80  |      Жрец     |        Эльф бездны         |
| 23049 |    Нимфа     |   80  |      Жрец     |         Эльф крови         |
| 23050 |    Шуруп     |   80  |  Чернокнижник |            Гном            |
| 23051 |    Emari     |   80  |      Маг      |         Эльф крови         |
| 23052 |    Deynna    |   80  |      Маг      |        Эльф бездны         |
| 23053 |   Damvzban   |   80  |      Воин     |        Ночной эльф         |
| 23054 |    Масясь    |   80  |     Друид     |        Ночной эльф         |
| 23055 |     Мась     |   80  |    Паладин    |          Человек           |
| 23056 | Arkhitektor  |   80  |  Чернокнижник |         Эльф крови         |
| 23057 |     Угух     |   80  |     Друид     |        Ночной эльф         |
| 23058 |    Енотя     |   80  |   Разбойник   |          Человек           |
| 23059 |   Лордище    |   80  |   Разбойник   |        Эльф бездны         |
| 23060 |    Pankek    |   80  |      Жрец     |         Эльф крови         |
| 23061 |    Атокх     |   80  |    Паладин    |            Орк             |
| 23062 |   Sikitar    |   80  |  Чернокнижник |           Нежить           |
| 23063 |     Котх     |   80  |      Воин     |           Гоблин           |
| 23064 |  Вульприна   |   80  |     Друид     |      Вульпера(Альянс)      |
| 23065 |     Achy     |   80  |  Чернокнижник |           Эредар           |
| 23066 |    Эйпин     |   80  |      Маг      |         Эльф крови         |
| 23067 |  Лисьяшапка  |   80  |  Чернокнижник |        Ночной эльф         |
| 23068 |  Анакталиан  |   80  |      Воин     |          Человек           |
| 23069 |   Nerzooll   |   80  |     Шаман     |           Нежить           |
| 23070 |   Ленафсб    |   80  |     Друид     |           Гоблин           |
| 23071 | Возьминаруки |   80  |    Паладин    |       Пандарен(Орда)       |
| 23072 |    Пивчик    |   80  |   Разбойник   |        Эльф бездны         |
| 23073 |    Norta     |   80  |     Шаман     |         Эльф крови         |
| 23074 |  Blackloll   |   80  |     Друид     |           Эредар           |
| 23075 |   Windfury   |   80  |     Шаман     |      Пандарен(Альянс)      |
| 23076 |    Sicily    |   80  |     Шаман     |      Вульпера(Альянс)      |
| 23077 |     Dzz      |   80  |    Паладин    |        Высший эльф         |
| 23078 |  Петушитель  |   80  |    Паладин    |          Человек           |
| 23079 |    Асгон     |   80  |     Шаман     |           Эредар           |
| 23080 |   Тронутая   |   80  |    Охотник    |        Высший эльф         |
| 23081 |     Gem      |   80  |      Маг      |         Эльф крови         |
| 23082 |    Seeker    |   80  |   Разбойник   |           Тролль           |
| 23083 | Aazmanidius  |   80  |     Шаман     |           Дворф            |
| 23084 |    Братка    |   80  |      Маг      |         Эльф крови         |
| 23085 |    Jlaer     |   80  |      Жрец     |        Ночной эльф         |
| 23086 |   Гэндадьф   |   80  |      Жрец     |         Эльф крови         |
| 23087 |    Jirobo    |   80  |    Паладин    |           Таурен           |
| 23088 |    Чипса     |   80  |  Чернокнижник |            Орк             |
| 23089 |   Коррсар    |   80  |   Разбойник   |           Нежить           |
| 23090 |     Суэк     |   80  |     Шаман     |        Ночной эльф         |
| 23091 |    Серёжа    |   80  |     Шаман     |        Ночной эльф         |
| 23092 |    Нешвил    |   80  |     Друид     |        Ночной эльф         |
| 23093 |    Варпер    |   80  |    Паладин    |         Эльф крови         |
| 23094 |    Cyrus     |   80  |      Воин     |           Таурен           |
| 23095 |    Gomeno    |   80  |     Шаман     |           Тролль           |
| 23096 |    Мужиг     |   80  |     Друид     |       Ночнорожденный       |
| 23097 |   Kapelan    |   80  |    Паладин    |            Орк             |
| 23098 |     Zina     |   80  |   Разбойник   |        Высший эльф         |
| 23099 |    Альянг    |   80  |    Паладин    |            Орк             |
| 23100 |   Писатель   |   80  |  Чернокнижник |           Нежить           |
| 23101 |   Изалента   |   80  |      Маг      |         Эльф крови         |
| 23102 |   Филиция    |   80  |     Друид     |        Ночной эльф         |
| 23103 |    Криня     |   80  |    Паладин    |      Пандарен(Альянс)      |
| 23104 |  Lavidaloka  |   80  |  Чернокнижник |           Нежить           |
| 23105 |  Героинчик   |   80  |  Чернокнижник |          Человек           |
| 23106 |    Ханток    |   80  |    Охотник    |          Человек           |
| 23107 |   Spelljin   |   80  |     Шаман     |           Тролль           |
| 23108 |    Атзири    |   80  |      Маг      |           Эредар           |
| 23109 |   Nonspeed   |   80  |      Маг      |           Тролль           |
| 23110 | Владиславус  |   80  |    Паладин    |          Человек           |
| 23111 |    Nisera    |   80  |     Шаман     |       Ночнорожденный       |
| 23112 |   Мунфраер   |   80  |     Друид     |           Тролль           |
| 23113 |  Намбероне   |   80  |    Паладин    |        Эльф бездны         |
| 23114 |    Палала    |   80  |    Паладин    |           Дворф            |
| 23115 |  Alphaomega  |   80  |    Охотник    |        Ночной эльф         |
| 23116 |    Dorine    |   80  |     Друид     |          Человек           |
| 23117 |   Llimpint   |   80  |      Жрец     |         Эльф крови         |
| 23118 |    Совсем    |   80  |    Охотник    |           Эредар           |
| 23119 | Yoshinomoto  |   80  |    Паладин    |        Ночной эльф         |
| 23120 |    Привет    |   80  |   Разбойник   |       Ночнорожденный       |
| 23121 |   Стефаныч   |   80  |    Охотник    |        Ночной эльф         |
| 23122 |    Swelay    |   80  |     Друид     |      Пандарен(Альянс)      |
| 23123 |   Dengrey    |   80  |  Чернокнижник |            Орк             |
| 23124 |    Leilyn    |   80  |     Шаман     |           Дреней           |
| 23125 |     Чудо     |   80  |   Разбойник   |       Ночнорожденный       |
| 23126 |    Ибица     |   80  |      Воин     |           Эредар           |
| 23127 |    Soddor    |   80  |    Паладин    |        Эльф бездны         |
| 23128 | Starfallout  |   80  |     Друид     |           Нежить           |
| 23129 |   Showtime   |   80  |     Друид     |        Ночной эльф         |
| 23130 |   Инсендио   |   80  |  Чернокнижник |         Эльф крови         |
| 23131 |   Стопарик   |   80  |     Шаман     |            Орк             |
| 23132 |   Мишакруг   |   80  |  Чернокнижник |           Нежить           |
| 23133 |     Понь     |   80  |     Шаман     |            Орк             |
| 23134 |   Palniks    |   80  |    Паладин    |         Эльф крови         |
| 23135 |    Batman    |   80  |    Паладин    |       Вульпера(Орда)       |
| 23136 |   Shizoid    |   80  |  Чернокнижник |        Ночной эльф         |
| 23137 |    Neelix    |   80  |      Жрец     |           Эредар           |
| 23138 |    Flash     |   80  |     Шаман     |           Таурен           |
| 23139 | Pornosymbol  |   80  |   Разбойник   |           Дворф            |
| 23140 |  Sharingan   |   80  |      Жрец     |        Эльф бездны         |
| 23141 | Medlyachook  |   80  |      Воин     |           Гоблин           |
| 23142 |   Ядерный    |   80  |    Паладин    |           Таурен           |
| 23143 |  Eraserqwe   |   80  |    Паладин    |        Ночной эльф         |
| 23144 |  Йозятайсон  |   80  |    Паладин    |         Эльф крови         |
| 23145 |   Дебаггер   |   80  |    Паладин    |           Гоблин           |
| 23146 |    Свейн     |   80  |  Чернокнижник |           Эредар           |
| 23147 |   Гобблин    |   80  |     Друид     |           Гоблин           |
| 23148 |   Урюкович   |   80  |     Друид     |        Ночной эльф         |
| 23149 |   Киртаэр    |   80  |     Шаман     |           Эредар           |
| 23150 |   Saberbtw   |   80  |     Друид     |        Ночной эльф         |
| 23151 |     Grug     |   80  |      Воин     |           Таурен           |
| 23152 |    Нарру     |   80  |    Паладин    |            Орк             |
| 23153 |  Педикюрщик  |   80  |      Жрец     |        Эльф бездны         |
| 23154 |   Thienlao   |   80  |      Маг      |           Эредар           |
| 23155 |     Boba     |   80  |     Друид     |         Эльф крови         |
| 23156 |    Нкари     |   80  |      Жрец     |          Человек           |
| 23157 |   Nagisaga   |   80  |  Чернокнижник |           Гоблин           |
| 23158 |    Белка     |   80  |     Друид     |        Ночной эльф         |
| 23159 |   Pandory    |   80  |    Паладин    |        Ночной эльф         |
| 23160 |   Ретрипал   |   80  |    Паладин    |       Вульпера(Орда)       |
| 23161 |    Demito    |   80  |      Воин     |        Ночной эльф         |
| 23162 |     Yeap     |   80  |      Жрец     |           Нежить           |
| 23163 |  Флешкобот   |   80  |    Паладин    |           Дворф            |
| 23164 | Пробиватель  |   80  |    Паладин    |            Орк             |
| 23165 |  Величайший  |   80  |  Чернокнижник |           Эредар           |
| 23166 | Поцелуйменя  |   80  |      Маг      |        Ночной эльф         |
| 23167 |   Ванечка    |   80  |    Паладин    |       Пандарен(Орда)       |
| 23168 |    Honey     |   80  |      Жрец     |        Эльф бездны         |
| 23169 |     Анти     |   80  |     Друид     |           Эредар           |
| 23170 |   Blackout   |   80  |      Воин     |            Орк             |
| 23171 |  Антарктика  |   80  |      Жрец     |           Эредар           |
| 23172 |  Риппажизни  |   80  |      Жрец     |        Эльф бездны         |
| 23173 |    Eldia     |   80  |    Паладин    |        Ночной эльф         |
| 23174 |    Ustoz     |   80  |  Чернокнижник |           Эредар           |
| 23175 |    Bitok     |   80  |      Воин     |            Орк             |
| 23176 |  Космополит  |   80  |     Друид     |        Ночной эльф         |
| 23177 |   Hellrok    |   80  |      Воин     |           Таурен           |
| 23178 | Nonamebomja  |   80  |    Охотник    |           Гоблин           |
| 23179 |   Синдорей   |   80  |  Чернокнижник |           Эредар           |
| 23180 |    Myroko    |   80  |      Маг      |         Эльф крови         |
| 23181 |  Полныйппц   |   80  |     Друид     |        Эльф бездны         |
| 23182 |   Projectx   |   80  |      Воин     |           Эредар           |
| 23183 |     Буба     |   80  |    Паладин    |       Пандарен(Орда)       |
| 23184 |    Madara    |   80  |      Воин     |        Ночной эльф         |
| 23185 |     Qvy      |   80  |      Маг      |           Эредар           |
| 23186 |    Hanti     |   80  |    Охотник    |         Эльф крови         |
| 23187 |   Profius    |   80  |    Паладин    |         Эльф крови         |
| 23188 | Shxdowblxde  |   80  |   Разбойник   |        Ночной эльф         |
| 23189 |   Ямазаки    |   80  |    Паладин    |        Ночной эльф         |
| 23190 |    Javax     |   80  |    Охотник    |           Гоблин           |
| 23191 |  Ичпичмоки   |   80  |      Жрец     |           Дреней           |
| 23192 |    Чсврог    |   80  |   Разбойник   |       Ночнорожденный       |
| 23193 |  Aferistka   |   80  |     Шаман     |         Эльф крови         |
| 23194 |  Сакарачка   |   80  |    Паладин    |         Эльф крови         |
| 23195 |     Абв      |   80  |    Паладин    |           Эредар           |
| 23196 |   Teldrin    |   80  |    Паладин    |         Эльф крови         |
| 23197 |  Boulevard   |   80  |      Маг      |        Ночной эльф         |
| 23198 |    Левчик    |   80  |    Паладин    |            Орк             |
| 23199 |    Aaraxy    |   80  |  Чернокнижник |           Эредар           |
| 23200 |    Bakugo    |   80  |      Маг      |           Гоблин           |
| 23201 | Барскантарс  |   80  |     Друид     |           Нежить           |
| 23202 | Люблюабсорб  |   80  |      Жрец     |        Ночной эльф         |
| 23203 |  Whitemvgic  |   80  |     Шаман     |        Ночной эльф         |
| 23204 |     Така     |   80  |      Воин     |            Орк             |
| 23205 |   Moonkean   |   80  |     Друид     |        Ночной эльф         |
| 23206 |   Voltage    |   80  |     Друид     |           Гоблин           |
| 23207 |   Кханкуль   |   80  |     Друид     |        Ночной эльф         |
| 23208 |    Форве     |   80  |      Воин     |        Ночной эльф         |
| 23209 |    Floma     |   80  |      Жрец     |          Человек           |
| 23210 |    Akkiri    |   80  |    Паладин    |        Ночной эльф         |
| 23211 |   Dismiss    |   80  |  Чернокнижник |           Эредар           |
| 23212 |     Ytiy     |   80  |   Разбойник   |            Орк             |
| 23213 |     Him      |   80  |      Воин     |        Ночной эльф         |
| 23214 |  Funnybunny  |   80  |    Охотник    |           Эредар           |
| 23215 |  Antideadd   |   80  |     Шаман     |           Дреней           |
| 23216 |    Трикси    |   80  |     Друид     |        Ночной эльф         |
| 23217 |    Далбик    |   80  |     Друид     |           Эредар           |
| 23218 |    Scoll     |   80  |      Маг      |        Ночной эльф         |
| 23219 | Architecture |   80  |      Жрец     |           Эредар           |
| 23220 |  Лакистрайк  |   80  |    Охотник    |         Эльф крови         |
| 23221 |  Палаадиныч  |   80  |    Паладин    |            Орк             |
| 23222 |   Verdict    |   80  |  Чернокнижник |        Эльф бездны         |
| 23223 |    Grudge    |   80  |  Чернокнижник |           Нежить           |
| 23224 | Звёзднаяпыль |   80  |      Жрец     |        Эльф бездны         |
| 23225 |   Пищеблок   |   80  |     Шаман     |        Ночной эльф         |
| 23226 |    Maclay    |   80  |      Воин     |            Орк             |
| 23227 |    Ruffar    |   80  |     Шаман     |       Вульпера(Орда)       |
| 23228 |     Mii      |   80  |    Паладин    |           Дворф            |
| 23229 |   Frenezie   |   80  |    Паладин    |        Эльф бездны         |
| 23230 |  Deathround  |   80  |     Шаман     |          Человек           |
| 23231 |   Ахроджон   |   80  |    Паладин    |           Дворф            |
| 23232 |    Goodx     |   80  |   Разбойник   |        Ночной эльф         |
| 23233 | Лапкивтапках |   80  |    Паладин    |       Вульпера(Орда)       |
| 23234 |    Киуру     |   80  |    Паладин    |         Эльф крови         |
| 23235 |   Babaroga   |   80  |   Разбойник   |        Ночной эльф         |
| 23236 |    Фикус     |   80  |     Друид     |        Ночной эльф         |
| 23237 |    Венгр     |   80  |    Паладин    |          Человек           |
| 23238 |   Файрмен    |   80  |      Маг      |           Тролль           |
| 23239 |    Морвин    |   80  |      Маг      |         Эльф крови         |
| 23240 |    Hamma     |   80  |     Шаман     |           Тролль           |
| 23241 |   Kadzhiro   |   80  |     Шаман     |           Таурен           |
| 23242 |    Flvmee    |   80  |      Воин     |        Ночной эльф         |
| 23243 | Bodybuilderz |   80  |     Шаман     |        Эльф бездны         |
| 23244 |    Largus    |   80  |     Шаман     |          Человек           |
| 23245 |  Белобровик  |   80  |     Друид     |        Ночной эльф         |
| 23246 | Кирамаледикт |   80  |      Маг      |      Вульпера(Альянс)      |
| 23247 |   Агрессия   |   80  |  Чернокнижник |           Эредар           |
| 23248 |  Incriment   |   80  |    Паладин    |         Эльф крови         |
| 23249 | Рокннрольщик |   80  |    Паладин    |          Человек           |
| 23250 |     Сила     |   80  |    Паладин    |        Эльф бездны         |
| 23251 |   Prowler    |   80  |    Охотник    |           Гоблин           |
| 23252 |  Soulblast   |   80  |      Жрец     |           Эредар           |
| 23253 |  Animehard   |   80  |    Паладин    |         Эльф крови         |
| 23254 |    Крысик    |   80  |     Друид     |       Вульпера(Орда)       |
| 23255 |   Konflikt   |   80  |    Паладин    |          Человек           |
| 23256 | Medvedpreved |   80  |    Паладин    |        Эльф бездны         |
| 23257 |   Актавион   |   80  |    Паладин    |          Человек           |
| 23258 |   Effectq    |   80  |  Чернокнижник |       Вульпера(Орда)       |
| 23259 |  Парафиллий  |   80  |  Чернокнижник |           Нежить           |
| 23260 |   Calibur    |   80  |      Жрец     |        Ночной эльф         |
| 23261 |   Chesterr   |   80  |      Жрец     |           Нежить           |
| 23262 |   Anallove   |   80  |      Жрец     |           Нежить           |
| 23263 |     Issi     |   80  |     Шаман     |         Эльф крови         |
| 23264 |   Бякабука   |   80  |      Маг      |           Тролль           |
| 23265 |     Bmp      |   80  |    Охотник    |           Тролль           |
| 23266 |     Joec     |   80  |    Паладин    |          Человек           |
| 23267 |   Soketka    |   80  |      Жрец     |         Эльф крови         |
| 23268 |   Swoloch    |   80  |  Чернокнижник |          Человек           |
| 23269 |   Timokha    |   80  |    Охотник    |           Гоблин           |
| 23270 | Limilyweiss  |   80  |      Жрец     |        Эльф бездны         |
| 23271 |    Remzi     |   80  |     Шаман     |          Человек           |
| 23272 |     Форе     |   80  |  Чернокнижник |          Человек           |
| 23273 |  Factlafiev  |   80  |     Шаман     |       Вульпера(Орда)       |
| 23274 |    Фенег     |   80  |   Разбойник   |           Тролль           |
| 23275 |     Qrma     |   80  |     Шаман     |            Орк             |
| 23276 |    Drinkk    |   80  |      Жрец     |           Нежить           |
| 23277 |   Огнемеч    |   80  |     Друид     |          Человек           |
| 23278 |   Кваййка    |   80  | Рыцарь смерти |        Ночной эльф         |
| 23279 |   Midoriya   |   80  | Рыцарь смерти |           Эредар           |
| 23280 |   Ондерон    |   80  | Рыцарь смерти |          Человек           |
| 23281 |   Tiamata    |   80  |     Шаман     |         Эльф крови         |
| 23282 |   Ибанутый   |   80  |      Воин     |            Орк             |
| 23283 |  Pristyara   |   80  |      Жрец     |          Человек           |
| 23284 |   Interqte   |   80  |    Охотник    |           Эредар           |
| 23285 | Стриптизёрка |   80  | Рыцарь смерти |           Эредар           |
| 23286 |    Лиана     |   80  |    Паладин    |           Эредар           |
| 23287 | Светлыйэрида |   80  |    Паладин    |           Эредар           |
| 23288 |    Иваня     |   80  |     Друид     |           Ворген           |
| 23289 |   Artstyle   |   80  |    Паладин    |           Гоблин           |
| 23290 |    Lorna     |   80  | Рыцарь смерти |           Эредар           |
| 23291 |     Флюс     |   80  |    Паладин    |            Орк             |
| 23292 |  Lovinglife  |   80  |    Паладин    |           Тролль           |
| 23293 |    Askren    |   80  |  Чернокнижник |        Высший эльф         |
| 23294 |  Amaranthe   |   80  |     Шаман     |            Орк             |
| 23295 |  Asashirou   |   80  |    Охотник    |           Гоблин           |
| 23296 | Держикопыто  |   80  |    Паладин    |           Таурен           |
| 23297 |    Клайм     |   80  |     Друид     |           Таурен           |
| 23298 |     Рвд      |   80  |     Шаман     |          Человек           |
| 23299 |    Welcom    |   80  | Рыцарь смерти |       Вульпера(Орда)       |
| 23300 |   Unchrono   |   80  |  Чернокнижник |        Эльф бездны         |
| 23301 |   Nixxion    |   80  |    Паладин    |         Эльф крови         |
| 23302 |  Квасилиск   |   80  |    Паладин    |           Дворф            |
| 23303 |   Alishana   |   80  |     Друид     |        Высший эльф         |
| 23304 |     Deco     |   80  |    Паладин    |         Эльф крови         |
| 23305 |    Tobos     |   80  |      Маг      |           Нежить           |
| 23306 |   Типабык    |   80  |     Друид     |           Таурен           |
| 23307 |    Mellis    |   80  |     Друид     |          Человек           |
| 23308 |    Zavra     |   80  |     Друид     |           Тролль           |
| 23309 |  Latexlife   |   80  |      Воин     |           Нежить           |
| 23310 |     Maxs     |   80  |    Паладин    |        Высший эльф         |
| 23311 |   Открылся   |   80  |     Шаман     |        Ночной эльф         |
| 23312 |     Блиц     |   80  |    Паладин    |           Дреней           |
| 23313 |     Non      |   80  |    Паладин    |            Орк             |
| 23314 |    Норви     |   80  |     Шаман     |        Ночной эльф         |
| 23315 |   Xfakerx    |   80  |    Паладин    |            Орк             |
| 23316 |    Котян     |   80  |     Друид     |           Нежить           |
| 23317 |    Кукся     |   80  |      Маг      |            Гном            |
| 23318 |  Epilepsiya  |   80  |    Паладин    |         Эльф крови         |
| 23319 |  Pisjuares   |   80  |     Шаман     |         Эльф крови         |
| 23320 |   Норвинг    |   80  |    Паладин    |        Ночной эльф         |
| 23321 |    Бомжур    |   80  |      Воин     |            Орк             |
| 23322 |    Бодом     |   80  |   Разбойник   |           Тролль           |
| 23323 |    Ganesh    |   80  |     Друид     |           Таурен           |
| 23324 |     Okra     |   80  |    Паладин    |       Вульпера(Орда)       |
| 23325 |  Tydronash   |   80  |     Друид     |         Эльф крови         |
| 23326 | Цапцарапушек |   80  |     Друид     |        Ночной эльф         |
| 23327 | Кровавыйснег |   80  |    Паладин    |           Эредар           |
| 23328 |  Ведьмеяра   |   80  |     Шаман     |           Тролль           |
| 23329 |   Madstorm   |   80  |      Воин     |           Дреней           |
| 23330 |   Маления    |   80  | Рыцарь смерти |         Эльф крови         |
| 23331 |     Digl     |   80  |      Воин     |           Дреней           |
| 23332 |    Betha     |   80  |      Жрец     |           Нежить           |
| 23333 | Сладкоеманго |   80  |      Жрец     |        Ночной эльф         |
| 23334 |  Папарюшка   |   80  |  Чернокнижник |           Нежить           |
| 23335 |   Assalito   |   80  |    Охотник    |          Человек           |
| 23336 |   Теленок    |   80  |    Паладин    |           Эредар           |
| 23337 | Nobodyhealme |   80  |      Маг      |         Эльф крови         |
| 23338 |   Spacemen   |   80  |     Друид     |        Ночной эльф         |
| 23339 |   Эйфория    |   80  | Рыцарь смерти |           Эредар           |
| 23340 |    Гарчен    |   80  |   Разбойник   |       Вульпера(Орда)       |
| 23341 |   Asterisk   |   80  |     Шаман     |        Ночной эльф         |
| 23342 |     Sham     |   80  |     Шаман     |       Вульпера(Орда)       |
| 23343 |   Друляндр   |   80  |     Друид     |           Нежить           |
| 23344 |      Дф      |   80  |      Маг      |        Ночной эльф         |
| 23345 | Аязаватаката |   80  |    Паладин    |           Дворф            |
| 23346 |    Square    |   80  |     Шаман     |         Эльф крови         |
| 23347 |    Шейри     |   80  | Рыцарь смерти |           Дреней           |
| 23348 |  Panoramix   |   80  |     Друид     |           Гоблин           |
| 23349 |  Пельменыч   |   80  |     Шаман     |       Вульпера(Орда)       |
| 23350 |     Koss     |   80  |     Шаман     |           Дреней           |
| 23351 |    Ksigo     |   80  |     Друид     |       Вульпера(Орда)       |
| 23352 |   Суперлис   |   80  |     Друид     |       Вульпера(Орда)       |
| 23353 |    Аяман     |   80  | Рыцарь смерти |         Эльф крови         |
| 23354 |    Dundur    |   80  | Рыцарь смерти |           Эредар           |
| 23355 | Casulcasual  |   80  |     Друид     |        Эльф бездны         |
| 23356 |    Vikuku    |   80  |    Паладин    |         Эльф крови         |
| 23357 |   Icenice    |   80  |      Маг      |           Нежить           |
| 23358 |   Panicka    |   80  | Рыцарь смерти |           Дреней           |
| 23359 |     Зит      |   80  |  Чернокнижник |           Эредар           |
